nohup: ignoring input
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /app/exercise/get_all_exercise --> github.com/bigby/project/Controllers.ExerciseQuery (5 handlers)
[GIN-debug] POST   /app/exercise/insert_exercise --> github.com/bigby/project/Controllers.ExerciseInsert (5 handlers)
[GIN-debug] PUT    /app/exercise/update_exercise/:id --> github.com/bigby/project/Controllers.ExerciseUpdate (5 handlers)
[GIN-debug] DELETE /app/exercise/delete_exercise/:id --> github.com/bigby/project/Controllers.ExerciseDelete (5 handlers)
[GIN-debug] GET    /docs/*any                --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (5 handlers)
[GIN-debug] Environment variable PORT is undefined. Using port :8080 by default
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2021/07/22 - 23:25:04 | 200 |  114.652157ms |  61.151.178.164 | GET      "/docs/swagger-ui-standalone-preset.js"
[GIN] 2021/07/22 - 23:30:35 | 200 |     110.997µs |  222.64.149.132 | GET      "/docs/index.html"
[GIN] 2021/07/22 - 23:30:35 | 304 |      67.734µs |  222.64.149.132 | GET      "/docs/swagger-ui.css"
[GIN] 2021/07/22 - 23:30:35 | 304 |        83.3µs |  222.64.149.132 | GET      "/docs/swagger-ui-standalone-preset.js"
[GIN] 2021/07/22 - 23:30:35 | 304 |      77.224µs |  222.64.149.132 | GET      "/docs/swagger-ui-bundle.js"
[GIN] 2021/07/22 - 23:30:35 | 200 |     190.634µs |  222.64.149.132 | GET      "/docs/doc.json"
[GIN] 2021/07/22 - 23:32:09 | 200 |     761.715µs |  222.64.149.132 | GET      "/app/exercise/get_all_exercise"
[GIN] 2021/07/23 - 00:14:53 | 200 |     253.773µs | 106.122.167.199 | GET      "/docs/index.html"
[GIN] 2021/07/23 - 00:14:53 | 304 |     114.933µs | 106.122.167.199 | GET      "/docs/swagger-ui.css"
[GIN] 2021/07/23 - 00:14:53 | 304 |      52.674µs | 106.122.167.199 | GET      "/docs/swagger-ui-standalone-preset.js"
[GIN] 2021/07/23 - 00:14:53 | 304 |       60.61µs | 106.122.167.199 | GET      "/docs/swagger-ui-bundle.js"
[GIN] 2021/07/23 - 00:14:53 | 200 |     259.213µs | 106.122.167.199 | GET      "/docs/doc.json"
[GIN] 2021/07/23 - 00:15:04 | 200 |    1.046133ms | 106.122.167.199 | GET      "/app/exercise/get_all_exercise"
